"VEIC"	"LAT"	"LON"	"DTHR"	"COD_LINHA"	"Distancia"	"timestamp"	"Duracao"
"1"	"AA007"	-25.409388	-49.360818	"20/10/2015 23:55:09"	812	0	2015-10-20 23:55:09	0
"2"	"AA007"	-25.409255	-49.360861	"20/10/2015 23:55:04"	812	0.000139778396039376	2015-10-20 23:55:04	5
"3"	"AA007"	-25.409051	-49.360628	"20/10/2015 23:54:57"	812	0.000449463720200416	2015-10-20 23:54:57	12
"4"	"AA007"	-25.409448	-49.360696	"20/10/2015 23:54:48"	812	0.000852245298725894	2015-10-20 23:54:48	21
"5"	"AA007"	-25.409693	-49.360788	"20/10/2015 23:54:23"	812	0.00111394933002884	2015-10-20 23:54:23	46
"6"	"AA007"	-25.410916	-49.361268	"20/10/2015 23:54:06"	812	0.00242777161633771	2015-10-20 23:54:06	63
"7"	"AA007"	-25.411061	-49.361325	"20/10/2015 23:54:04"	812	0.00258357277165996	2015-10-20 23:54:04	65
"8"	"AA007"	-25.4113	-49.361425	"20/10/2015 23:54:00"	812	0.00284264998022818	2015-10-20 23:54:00	69
"9"	"AA007"	-25.411575	-49.361448	"20/10/2015 23:53:50"	812	0.00311861012227669	2015-10-20 23:53:50	79
"10"	"AA007"	-25.411596	-49.361195	"20/10/2015 23:53:46"	812	0.00337248016777315	2015-10-20 23:53:46	83
"11"	"AA007"	-25.41163	-49.36078	"20/10/2015 23:53:42"	812	0.00378887060955002	2015-10-20 23:53:42	87
"12"	"AA007"	-25.411703	-49.359853	"20/10/2015 23:53:32"	812	0.00471874049291809	2015-10-20 23:53:32	97
"13"	"AA007"	-25.411708	-49.359781	"20/10/2015 23:53:31"	812	0.00479091389522421	2015-10-20 23:53:31	98
"14"	"AA007"	-25.41173	-49.359448	"20/10/2015 23:53:25"	812	0.00512463983068379	2015-10-20 23:53:25	104
"15"	"AA007"	-25.411736	-49.359348	"20/10/2015 23:53:15"	812	0.0052248196689782	2015-10-20 23:53:15	114
"16"	"AA007"	-25.411743	-49.359296	"20/10/2015 23:53:12"	812	0.00527728870746423	2015-10-20 23:53:12	117
"17"	"AA007"	-25.411786	-49.358838	"20/10/2015 23:53:06"	812	0.00573730283768364	2015-10-20 23:53:06	123
"18"	"AA007"	-25.411831	-49.358273	"20/10/2015 23:53:00"	812	0.00630409204012308	2015-10-20 23:53:00	129
"19"	"AA007"	-25.411838	-49.358195	"20/10/2015 23:52:59"	812	0.00638240551277758	2015-10-20 23:52:59	130
"20"	"AA007"	-25.41197	-49.357948	"20/10/2015 23:52:54"	812	0.00666246443515108	2015-10-20 23:52:54	135
"21"	"AA007"	-25.412258	-49.35801	"20/10/2015 23:52:48"	812	0.00695706246637439	2015-10-20 23:52:48	141
"22"	"AA007"	-25.412545	-49.358021	"20/10/2015 23:52:38"	812	0.00724427319040833	2015-10-20 23:52:38	151
"23"	"AA007"	-25.412548	-49.35772	"20/10/2015 23:52:30"	812	0.00754528814020351	2015-10-20 23:52:30	159
"24"	"AA007"	-25.412513	-49.357576	"20/10/2015 23:52:19"	812	0.00769348058265483	2015-10-20 23:52:19	170
"25"	"AA007"	-25.412493	-49.356448	"20/10/2015 23:52:05"	812	0.00882165787368804	2015-10-20 23:52:05	184
"26"	"AA007"	-25.412501	-49.356278	"20/10/2015 23:52:03"	812	0.00899184600488108	2015-10-20 23:52:03	186
"27"	"AA007"	-25.41251	-49.356116	"20/10/2015 23:52:01"	812	0.00915409581228018	2015-10-20 23:52:01	188
"28"	"AA007"	-25.412525	-49.35576	"20/10/2015 23:51:56"	812	0.00951041168338681	2015-10-20 23:51:56	193
"29"	"AA007"	-25.412743	-49.35556	"20/10/2015 23:51:49"	812	0.00980625623716452	2015-10-20 23:51:49	200
"30"	"AA007"	-25.412923	-49.35559	"20/10/2015 23:51:46"	812	0.00998873911307415	2015-10-20 23:51:46	203
"31"	"AA007"	-25.413095	-49.355638	"20/10/2015 23:51:43"	812	0.0101673112273576	2015-10-20 23:51:43	206
"32"	"AA007"	-25.413286	-49.355396	"20/10/2015 23:51:04"	812	0.0104756049185036	2015-10-20 23:51:04	245
"33"	"AA007"	-25.413388	-49.355093	"20/10/2015 23:50:58"	812	0.0107953125974883	2015-10-20 23:50:58	251
"34"	"AA007"	-25.413796	-49.354191	"20/10/2015 23:50:45"	812	0.0117852964357371	2015-10-20 23:50:45	264
"35"	"AA007"	-25.414038	-49.353776	"20/10/2015 23:50:38"	812	0.0122657014731766	2015-10-20 23:50:38	271
"36"	"AA007"	-25.41407	-49.353725	"20/10/2015 23:50:37"	812	0.0123259094460745	2015-10-20 23:50:37	272
"37"	"AA007"	-25.414245	-49.353438	"20/10/2015 23:50:31"	812	0.012662055247775	2015-10-20 23:50:31	278
"38"	"AA007"	-25.41454	-49.353498	"20/10/2015 23:50:23"	812	0.0129630951122435	2015-10-20 23:50:23	286
"39"	"AA007"	-25.41481	-49.353615	"20/10/2015 23:50:15"	812	0.0132573552012792	2015-10-20 23:50:15	294
"40"	"AA007"	-25.414878	-49.353655	"20/10/2015 23:50:03"	812	0.0133362475329774	2015-10-20 23:50:03	306
"41"	"AA007"	-25.415916	-49.354138	"20/10/2015 23:49:38"	812	0.0144811200149555	2015-10-20 23:49:38	331
"42"	"AA007"	-25.415963	-49.354161	"20/10/2015 23:49:37"	812	0.0145334459167647	2015-10-20 23:49:37	332
"43"	"AA007"	-25.416018	-49.35419	"20/10/2015 23:49:36"	812	0.0145956230829936	2015-10-20 23:49:36	333
"44"	"AA007"	-25.416553	-49.354321	"20/10/2015 23:49:28"	812	0.0151464279486204	2015-10-20 23:49:28	341
"45"	"AA007"	-25.416818	-49.35435	"20/10/2015 23:49:12"	812	0.0154130100185337	2015-10-20 23:49:12	357
"46"	"AA007"	-25.416896	-49.35436	"20/10/2015 23:49:10"	812	0.0154916484315415	2015-10-20 23:49:10	359
"47"	"AA007"	-25.417651	-49.354453	"20/10/2015 23:49:03"	812	0.0162523546823355	2015-10-20 23:49:03	366
"48"	"AA007"	-25.418298	-49.354531	"20/10/2015 23:48:56"	812	0.0169040394220688	2015-10-20 23:48:56	373
"49"	"AA007"	-25.418508	-49.354556	"20/10/2015 23:48:53"	812	0.0171155222818936	2015-10-20 23:48:53	376
"50"	"AA007"	-25.418791	-49.354615	"20/10/2015 23:48:47"	812	0.0174046070445495	2015-10-20 23:48:47	382
"51"	"AA007"	-25.418873	-49.354298	"20/10/2015 23:48:27"	812	0.0177320410073604	2015-10-20 23:48:27	402
"52"	"AA007"	-25.418895	-49.35394	"20/10/2015 23:48:22"	812	0.0180907163480221	2015-10-20 23:48:22	407
"53"	"AA007"	-25.4189	-49.35384	"20/10/2015 23:48:21"	812	0.018190841269998	2015-10-20 23:48:21	408
"54"	"AA007"	-25.418976	-49.352055	"20/10/2015 23:48:08"	812	0.0199774584645849	2015-10-20 23:48:08	421
"55"	"AA007"	-25.418983	-49.351916	"20/10/2015 23:48:07"	812	0.0201166346119638	2015-10-20 23:48:07	422
"56"	"AA007"	-25.419013	-49.3511	"20/10/2015 23:48:01"	812	0.0209331858963303	2015-10-20 23:48:01	428
"57"	"AA007"	-25.419016	-49.350968	"20/10/2015 23:48:00"	812	0.0210652199828389	2015-10-20 23:48:00	429
"58"	"AA007"	-25.419088	-49.349075	"20/10/2015 23:47:45"	812	0.0229595887431413	2015-10-20 23:47:45	444
"59"	"AA007"	-25.419096	-49.348758	"20/10/2015 23:47:42"	812	0.0232766896734485	2015-10-20 23:47:42	447
"60"	"AA007"	-25.418928	-49.348095	"20/10/2015 23:47:07"	812	0.0239606436192621	2015-10-20 23:47:07	482
"61"	"AA007"	-25.418815	-49.347791	"20/10/2015 23:47:02"	812	0.0242849659897524	2015-10-20 23:47:02	487
"62"	"AA007"	-25.418656	-49.34747	"20/10/2015 23:46:58"	812	0.0246431865921747	2015-10-20 23:46:58	491
"63"	"AA007"	-25.418476	-49.347205	"20/10/2015 23:46:54"	812	0.0249635379617667	2015-10-20 23:46:54	495
